name,province,district,county,type,lat,long,date
Colegio Rogelio Josué Ibarra,Bocas del Toro,Bocas del Toro,Bocas del Toro,FO,9.340654,-82.242499,12/7/2017
Escuela República de Nicaragua,Bocas del Toro,Bocas del Toro,Bocas del Toro,FO,9.338938,-82.242668,12/7/2017
Parque Simón Bolívar,Bocas del Toro,Bocas del Toro,Bocas del Toro,FO,9.340183,-82.240631,12/7/2017
Col. Sec. de Almirante,Bocas del Toro,Changuinola,Puerto Almirante,FO,9.299741,-82.413301,10/7/2017
Escuela Almirante,Bocas del Toro,Changuinola,Puerto Almirante,FO,9.292715,-82.394887,28/06/2017
Escuela Barriada Guaymi,Bocas del Toro,Changuinola,Puerto Almirante,FO,8.242676,-81.670066,30/06/2017
Escuela Berta López,Bocas del Toro,Changuinola,Puerto Almirante,FO,9.29509,-82.404895,29/06/2017
Escuela Miraflores,Bocas del Toro,Changuinola,Puerto Almirante,FO,9.305504,-82.437321,10/7/2017
Escuela Nuevo Paraíso,Bocas del Toro,Changuinola,Puerto Almirante,FO,9.283946,-82.410794,29/06/2017
BDA,Bocas del Toro,Changuinola,Changuinola,FO,9.437215,-82.519311,10/7/2017
Escuela Finca 41,Bocas del Toro,Changuinola,Changuinola,FO,9.471103,-82.513954,27/06/2017
Hospital Changuinola,Bocas del Toro,Changuinola,Changuinola,FO,9.449043,-82.516495,29/06/2017
Instituto Profesional y técnico de Bocas del Toro,Bocas del Toro,Changuinola,Changuinola,HFC,9.47141,-82.51574,26/06/2017
Palacio Municipal Changuinola,Bocas del Toro,Changuinola,Changuinola,FO,9.454582,-82.516882,26/06/2017
Parque de la escuela de changuinola,Bocas del Toro,Changuinola,Changuinola,FO,9.456052,-82.514567,11/7/2017
Policia de la Niñez y Adolescencia,Bocas del Toro,Changuinola,Changuinola,FO,9.477634,-82.508425,27/06/2017
Terminal de Transporte Sincotavecop,Bocas del Toro,Changuinola,Changuinola,FO,9.449858,-82.518679,29/06/2017
C.E.B.G. Finca 32,Bocas del Toro,Changuinola,Changuinola,HFC,9.427024,-82.555804,27/06/2017
C.E.B.G. FINCA 62,Bocas del Toro,Changuinola,Changuinola,PTP,9.437268,-82.497184,26/06/2017
Escuela Finca 43,Bocas del Toro,Changuinola,Changuinola,FO,9.474736,-82.499969,26/06/2017
Escuela Finca 44,Bocas del Toro,Changuinola,Changuinola,FO,9.474577,-82.482878,26/06/2017
Escuela Finca 64,Bocas del Toro,Changuinola,Changuinola,FO,9.458968,-82.496082,2/8/2017
Escuela Finca 67,Bocas del Toro,Changuinola,Changuinola,FO,9.437948,-82.497599,2/8/2017
C.E.B.G. Finca 04,Bocas del Toro,Changuinola,El Empalme,FO,9.405815,-82.50158,27/06/2017
Cuartel de Bomberos del Empalme,Bocas del Toro,Changuinola,El Empalme,FO,9.420845,-82.52088,27/06/2017
Escuela El Empalme,Bocas del Toro,Changuinola,El Empalme,FO,9.420079,-82.520909,29/06/2017
Escuela El Silencio,Bocas del Toro,Changuinola,El Empalme,FO,9.388555,-82.531266,27/06/2017
Escuela Finca 3,Bocas del Toro,Changuinola,El Empalme,Satelital,9.424643,-82.471711,19/12/2017
I.P.T. EL SILENCIO,Bocas del Toro,Changuinola,El Empalme,FO,9.375363,-82.528324,27/06/2017
Universidad de Panama El Empalme,Bocas del Toro,Changuinola,El Empalme,FO,9.415669,-82.526246,11/7/2017
Universidad de Panama- Sede Agropecuaria,Bocas del Toro,Changuinola,El Empalme,FO,9.495357,-82.586637,27/06/2017
UTP El Empalme,Bocas del Toro,Changuinola,El Empalme,FO,9.421975,-82.523321,27/06/2017
C.E.B.G. Guabito,Bocas del Toro,Changuinola,Guabito,FO,9.492023,-82.611638,11/7/2017
Colegio Secundario de Guabito,Bocas del Toro,Changuinola,Guabito,FO,9.488559,-82.60768,11/7/2017
Escuela Finca 41 Guabito,Bocas del Toro,Changuinola,Guabito,FO,9.491225,-82.624136,11/7/2017
Escuela Finca 54,Bocas del Toro,Changuinola,Guabito,FO,9.495357,-82.586637,11/7/2017
Escuela Finca Débora,Bocas del Toro,Changuinola,Guabito,FO,9.514801,-82.594971,3/8/2017
Escuela Puente blanco,Bocas del Toro,Changuinola,Guabito,PTP,9.481746,-82.595249,28/06/2017
Escuela San San Medio (Anexa),Bocas del Toro,Changuinola,Guabito,FO,9.464957,-82.549523,28/06/2017
