name,province,district,county,type,lat,long
Esc. Isla Popa No 2,Bocas del Toro,Bocas del Toro,Punta Laurel,Primaria Oficial,"9° 13' 7.634"""" N","82° 8' 28.871"""" W"
Esc. Isla Tigre,Bocas del Toro,Bocas del Toro,Punta Laurel,Primaria Oficial,"9° 10' 30.248"""" N","82° 4' 54.579"""" W"
Esc. Punta Laurel,Bocas del Toro,Bocas del Toro,Punta Laurel,Primaria Oficial,"9° 8' 28.336"""" N","82° 7' 35.120"""" W"
Esc. Rio Oeste Abajo,Bocas del Toro,Changuinola,Almirante,Primaria Oficial,"9° 15' 10.596"""" N","82° 24' 17.914"""" W"
Esc. Boca de Yorkín,Bocas del Toro,Changuinola,Guabito,Primaria Oficial,"9° 36' 48.030"""" N","82° 50' 55.847"""" W"
Esc. Loma Bonita,Bocas del Toro,Changuinola,El Empalme,Primaria Oficial,"9° 22' 27.534"""" N","82° 29' 26.387"""" W"
Esc. Milla 03,Bocas del Toro,Changuinola,Almirante,Primaria Oficial,"9° 18' 21.735"""" N","82° 24' 58.454"""" W"
Esc. Los Chiricanos,Bocas del Toro,Chiriqui Grande,Miramar,Primaria Oficial,"8° 58' 51.762"""" N","82° 13' 9.604"""" W"
Esc. Ojo de Agua,Bocas del Toro,Changuinola,Almirante,Primaria Oficial,"9° 17' 34.693"""" N","82° 27' 20.373"""" W"
Esc. Almirante,Bocas del Toro,Changuinola,Almirante,Primaria Oficial,"9° 17' 35.603"""" N","82° 23' 40.249"""" W"
Esc. Nvo. Paraíso,Bocas del Toro,Changuinola,Almirante,Primaria Oficial,"9° 16' 56.954"""" N","82° 24' 46.013"""" W"
Esc. Finca 64,Bocas del Toro,Changuinola,Changuinola (Cab.),Primaria Oficial,"9° 27' 32.278"""" N","82° 29' 45.531"""" W"
Esc. Finca 67,Bocas del Toro,Changuinola,Changuinola (Cab.),Primaria Oficial,"9° 26' 10.722"""" N","82° 29' 48.662"""" W"
Esc. Mariano Thomas,Bocas del Toro,Changuinola,Guabito,Primaria Oficial,"9° 29' 47.985"""" N","82° 40' 36.703"""" W"
Esc. Finca 32,Bocas del Toro,Changuinola,Changuinola (Cab.),Primaria Oficial,"9° 25' 37.029"""" N","82° 33' 21.088"""" W"
Esc. Finca California,Bocas del Toro,Changuinola,Guabito,Primaria Oficial,"9° 32' 23.762"""" N","82° 35' 24.988"""" W"
Esc. Finca Débora,Bocas del Toro,Changuinola,Guabito,Primaria Oficial,"9° 30' 52.638"""" N","82° 35' 41.412"""" W"
Esc. Finca 54,Bocas del Toro,Changuinola,Guabito,Primaria Oficial,"9° 29' 42.394"""" N","82° 35' 11.666"""" W"
Esc. I.P.T. El Silencio,Bocas del Toro,Changuinola,El Empalme,Secundaria Oficial,"9° 22' 31.927"""" N","82° 31' 38.528"""" W"
Esc. Bilingue Finca 8,Bocas del Toro,Changuinola,Changuinola (Cab.),Privada,"9° 26' 18.775"""" N","82° 31' 11.995"""" W"
Esc. Bilingue Changuinola,Bocas del Toro,Changuinola,Changuinola (Cab.),Privada,"9° 26' 55.449"""" N","82° 31' 14.028"""" W"
Esc. El Silencio,Bocas del Toro,Changuinola,El Empalme,Primaria Oficial,"9° 23' 26.643"""" N","82° 32' 3.330"""" W"
Esc. Finca 43,Bocas del Toro,Changuinola,Changuinola (Cab.),Primaria Oficial,"9° 28' 31.581"""" N","82° 29' 54.211"""" W"
Esc. Finca 4,Bocas del Toro,Changuinola,El Empalme,Primaria Oficial,"9° 24' 7.485"""" N","82° 30' 0.886"""" W"
Esc. El Empalme,Bocas del Toro,Changuinola,El Empalme,Primaria Oficial,"9° 25' 15.012"""" N","82° 31' 8.754"""" W"
Esc. Changuinola,Bocas del Toro,Changuinola,Changuinola (Cab.),Primaria Oficial,"9° 27' 21.926"""" N","82° 30' 49.831"""" W"
Col.. Sec. de Almirante,Bocas del Toro,Changuinola,Almirante,Secundaria Oficial,"9° 18' 1.108"""" N","82° 24' 39.309"""" W"
Esc. Finca 62,Bocas del Toro,Changuinola,Changuinola (Cab.),Primaria Oficial,"9° 26' 59.309"""" N","82° 29' 2.959"""" W"
Esc. Finca 2,Bocas del Toro,Changuinola,El Empalme,Primaria Oficial,"9° 25' 1.390"""" N","82° 28' 52.852"""" W"
Esc. Tibite,Bocas del Toro,Changuinola,Almirante,Primaria Oficial,"9° 19' 9.360"""" N","82° 27' 24.794"""" W"
Esc. Miraflores,Bocas del Toro,Changuinola,Almirante,Primaria Oficial,"9° 18' 13.094"""" N","82° 26' 17.283"""" W"
Colegio Rogelio J. Ibarra,Bocas del Toro,Bocas del Toro,Bocas del Toro (Cab.),Secundaria Oficial,"9° 20' 26.293"""" N","82° 14' 32.743"""" W"
Esc. Rep. de Nicaragua,Bocas del Toro,Bocas del Toro,Bocas del Toro (Cab.),Primaria Oficial,"9° 20' 22.362"""" N","82° 14' 32.551"""" W"
Esc. Rambala,Bocas del Toro,Chiriqui Grande,Punta Peña,Primaria Oficial,"8° 55' 36.231"""" N","82° 10' 24.018"""" W"
Esc. Punta Peña,Bocas del Toro,Chiriqui Grande,Punta Peña,Primaria Oficial,"8° 54' 48.392"""" N","82° 11' 9.031"""" W"
Esc. Berta A. López C.,Bocas del Toro,Changuinola,Almirante,Primaria Oficial,"9° 17' 42.552"""" N","82° 24' 16.331"""" W"
Esc. Finca 41,Bocas del Toro,Changuinola,Guabito,Primaria Oficial,"9° 29' 32.119"""" N","82° 37' 31.854"""" W"
Esc. Nievecita,Bocas del Toro,Changuinola,Guabito,Primaria Oficial,"9° 32' 43.118"""" N","82° 44' 24.810"""" W"
Esc. Barranco Adentro,Bocas del Toro,Changuinola,Guabito,Primaria Oficial,"9° 31' 59.633"""" N","82° 43' 42.759"""" W"
Esc. Qda. Canela,Bocas del Toro,Changuinola,Guabito,Primaria Oficial,"9° 29' 40.277"""" N","82° 42' 27.254"""" W"
Esc. Guabito,Bocas del Toro,Changuinola,Guabito,Primaria Oficial,"9° 29' 29.429"""" N","82° 36' 31.756"""" W"
Esc. San San Medio,Bocas del Toro,Changuinola,Guabito,Primaria Oficial,"9° 25' 11.814"""" N","82° 37' 24.796"""" W"
Esc. Finca 44,Bocas del Toro,Changuinola,Changuinola (Cab.),Primaria Oficial,"9° 28' 26.492"""" N","82° 28' 57.411"""" W"
Esc. Milla 10,Bocas del Toro,Changuinola,El Empalme,Primaria Oficial,"9° 23' 12.743"""" N","82° 28' 24.314"""" W"
Esc. Finca 66,Bocas del Toro,Changuinola,Changuinola (Cab.),Primaria Oficial,"9° 26' 43.169"""" N","82° 31' 0.376"""" W"
Esc. Valle Junquito,Bocas del Toro,Changuinola,El Empalme,Primaria Oficial,"9° 22' 4.507"""" N","82° 29' 11.748"""" W"
Esc. La Gloria,Bocas del Toro,Changuinola,El Empalme,Primaria Oficial,"9° 20' 5.049"""" N","82° 29' 6.392"""" W"
Esc. Sursuba,Bocas del Toro,Changuinola,El Empalme,Primaria Oficial,"9° 20' 5.503"""" N","82° 32' 32.417"""" W"
