Regi¢n;Proveedor;PA;Nombre;Provincia;Distrito;Corregimiento;Data (GB);Estado
1;C&W Panam†;1;Colegio Rogelio JosuÇ Ibarra;Bocas del Toro;Bocas del Toro;Bocas del Toro;0;Normal
1;C&W Panam†;3;Escuela Rep£blica de Nicaragua;Bocas del Toro;Bocas del Toro;Bocas del Toro;1;Normal
1;C&W Panam†;5;Parque Sim¢n Bol°var;Bocas del Toro;Bocas del Toro;Bocas del Toro;1;Normal
1;C&W Panam†;6;Col. Sec. de Almirante;Bocas del Toro;Almirante;Puerto Almirante;13;Normal
1;C&W Panam†;7;Escuela Almirante;Bocas del Toro;Almirante;Puerto Almirante;16;Normal
1;C&W Panam†;8;Escuela Barriada Guaymi;Bocas del Toro;Almirante;Puerto Almirante;0;Fuerza Mayor
1;C&W Panam†;9;Escuela Berta L¢pez;Bocas del Toro;Almirante;Puerto Almirante;247;Normal
1;C&W Panam†;10;Escuela Miraflores;Bocas del Toro;Almirante;Puerto Almirante;379;Normal
1;C&W Panam†;11;Escuela Nuevo Para°so;Bocas del Toro;Almirante;Puerto Almirante;311;Fuerza Mayor
1;C&W Panam†;13;BDA;Bocas del Toro;Changuinola;Changuinola;107;Normal
1;C&W Panam†;17;Escuela Finca 41;Bocas del Toro;Changuinola;Changuinola;174;Normal
1;C&W Panam†;19;Hospital Changuinola;Bocas del Toro;Changuinola;Changuinola;111;Normal
1;C&W Panam†;20;Instituto Profesional y tÇcnico de Bocas del Toro;Bocas del Toro;Changuinola;Changuinola;195;Normal
1;C&W Panam†;21;Palacio Municipal Changuinola;Bocas del Toro;Changuinola;Changuinola;27;Normal
1;C&W Panam†;22;Parque de la escuela de changuinola;Bocas del Toro;Changuinola;Changuinola;69;Normal
1;C&W Panam†;24;Policia de la Ni§ez y Adolescencia;Bocas del Toro;Changuinola;Changuinola;41;Normal
1;C&W Panam†;25;Policia Nacional Changuinola;Bocas del Toro;Changuinola;Changuinola;79;Normal
1;C&W Panam†;26;Terminal de Transporte Sincotavecop;Bocas del Toro;Changuinola;Changuinola;80;Normal
1;C&W Panam†;27;C.E.B.G. Finca 32;Bocas del Toro;Changuinola;Changuinola;1;Normal
1;C&W Panam†;28;C.E.B.G. FINCA 62;Bocas del Toro;Changuinola;Changuinola;43;Fuerza Mayor
1;C&W Panam†;29;Escuela Finca 43;Bocas del Toro;Changuinola;Changuinola;250;Normal
1;C&W Panam†;30;Escuela Finca 44;Bocas del Toro;Changuinola;Changuinola;22;Normal
1;C&W Panam†;31;Escuela Finca 64;Bocas del Toro;Changuinola;Changuinola;369;Normal
1;C&W Panam†;32;Escuela Finca 67;Bocas del Toro;Changuinola;Changuinola;291;Normal
1;C&W Panam†;33;C.E.B.G. Finca 04;Bocas del Toro;Changuinola;El Empalme;16;Normal
1;C&W Panam†;34;Cuartel de Bomberos del Empalme;Bocas del Toro;Changuinola;El Empalme;131;Normal
1;C&W Panam†;35;Escuela El Empalme;Bocas del Toro;Changuinola;El Empalme;36;Normal
1;C&W Panam†;36;Escuela El Silencio;Bocas del Toro;Changuinola;El Empalme;34;Normal
1;C&W Panam†;37;Escuela Finca 3;Bocas del Toro;Changuinola;El Empalme;84;Fuerza Mayor
1;C&W Panam†;38;I.P.T. EL SILENCIO;Bocas del Toro;Changuinola;El Empalme;6;Fuerza Mayor
1;C&W Panam†;39;Universidad de Panam† El Empalme;Bocas del Toro;Changuinola;El Empalme;82;Normal
1;C&W Panam†;40;Universidad de Panam†- Sede Agropecuaria;Bocas del Toro;Changuinola;El Empalme;72;Normal
1;C&W Panam†;41;UTP El Empalme;Bocas del Toro;Changuinola;El Empalme;201;Normal
1;C&W Panam†;42;C.E.B.G. Guabito;Bocas del Toro;Changuinola;Guabito;10;Normal
1;C&W Panam†;43;Colegio Secundario de Guabito;Bocas del Toro;Changuinola;Guabito;131;Fuerza Mayor
1;C&W Panam†;44;Escuela Finca 41 Guabito;Bocas del Toro;Changuinola;Guabito;131;Normal
1;C&W Panam†;45;Escuela Finca 54;Bocas del Toro;Changuinola;Guabito;485;Normal
