"Región,""PA"",""Nombre"",""Provincia"",""Distrito"",""Corregimiento"",""01/07"",""02/07"",""03/07"",""04/07"",""05/07"",""06/07"",""07/07"",""08/07"",""09/07"",""10/07"",""11/07"",""12/07"",""13/07"",""14/07"",""15/07"",""16/07"",""17/07"",""18/07"",""19/07"",""20/07"",""21/07"",""22/07"",""23/07"",""24/07"",""25/07"",""26/07"",""27/07"",""28/07"",""29/07"",""30/07"",""31/07"""
"1,""1"",""Colegio Rogelio Josué Ibarra"",""Bocas del Toro"",""Bocas del Toro"",""Bocas del Toro"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""2"",""2"",""1"",""1"",""1"",""2"",""2"",""0"",""0"",""2"",""1"",""2"",""1"",""1"",""3"",""2"",""2"",""2"",""1"",""1"",""0"",""0"",""1"""
"1,""3"",""Escuela República de Nicaragua"",""Bocas del Toro"",""Bocas del Toro"",""Bocas del Toro"",""0"",""0"",""1"",""1"",""1"",""1"",""2"",""0"",""0"",""1"",""2"",""1"",""1"",""3"",""1"",""0"",""1"",""1"",""1"",""1"",""0"",""0"",""0"",""1"",""0"",""0"",""1"",""1"",""0"",""0"",""2"""
"1,""5"",""Parque Simón Bolívar"",""Bocas del Toro"",""Bocas del Toro"",""Bocas del Toro"",""6"",""5"",""5"",""6"",""4"",""5"",""7"",""5"",""7"",""5"",""6"",""5"",""5"",""4"",""5"",""5"",""6"",""5"",""6"",""1"",""5"",""5"",""4"",""2"",""4"",""3"",""4"",""0"",""0"",""0"",""2"""
"1,""6"",""Col. Sec. de Almirante"",""Bocas del Toro"",""Almirante"",""Puerto Almirante"",""0"",""1"",""9"",""6"",""7"",""6"",""5"",""3"",""0"",""5"",""6"",""3"",""5"",""3"",""0"",""0"",""4"",""5"",""6"",""6"",""4"",""0"",""0"",""5"",""7"",""7"",""6"",""6"",""0"",""0"",""5"""
"1,""7"",""Escuela Almirante"",""Bocas del Toro"",""Almirante"",""Puerto Almirante"",""2"",""4"",""2"",""3"",""1"",""1"",""2"",""1"",""2"",""2"",""2"",""1"",""1"",""1"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""2"",""2"",""1"",""1"",""1"""
"1,""8"",""Escuela Barriada Guaymi"",""Bocas del Toro"",""Almirante"",""Puerto Almirante"",""1"",""4"",""5"",""5"",""8"",""5"",""7"",""7"",""6"",""8"",""7"",""5"",""5"",""8"",""6"",""7"",""4"",""5"",""6"",""5"",""5"",""4"",""5"",""2"",""5"",""4"",""3"",""4"",""6"",""4"",""3"""
"1,""9"",""Escuela Berta López"",""Bocas del Toro"",""Almirante"",""Puerto Almirante"",""4"",""5"",""4"",""4"",""6"",""4"",""5"",""5"",""5"",""5"",""5"",""5"",""4"",""6"",""6"",""5"",""5"",""3"",""2"",""3"",""3"",""4"",""3"",""5"",""4"",""5"",""4"",""5"",""3"",""5"",""7"""
"1,""10"",""Escuela Miraflores"",""Bocas del Toro"",""Almirante"",""Puerto Almirante"",""15"",""23"",""18"",""20"",""17"",""20"",""18"",""19"",""25"",""16"",""20"",""22"",""20"",""22"",""22"",""17"",""21"",""17"",""18"",""22"",""22"",""20"",""19"",""19"",""13"",""16"",""13"",""19"",""22"",""17"",""20"""
"1,""11"",""Escuela Nuevo Paraíso"",""Bocas del Toro"",""Almirante"",""Puerto Almirante"",""2"",""6"",""7"",""7"",""6"",""6"",""6"",""7"",""10"",""7"",""6"",""7"",""6"",""7"",""5"",""5"",""4"",""3"",""4"",""2"",""4"",""4"",""6"",""5"",""3"",""5"",""4"",""4"",""5"",""7"",""5"""
"1,""13"",""BDA"",""Bocas del Toro"",""Changuinola"",""Changuinola"",""4"",""3"",""7"",""5"",""4"",""4"",""3"",""3"",""3"",""4"",""5"",""4"",""4"",""4"",""6"",""2"",""6"",""3"",""4"",""4"",""4"",""4"",""4"",""7"",""5"",""4"",""6"",""4"",""4"",""4"",""6"""
"1,""17"",""Escuela Finca 41"",""Bocas del Toro"",""Changuinola"",""Changuinola"",""0"",""0"",""3"",""3"",""3"",""0"",""5"",""0"",""0"",""3"",""4"",""6"",""3"",""4"",""0"",""0"",""4"",""4"",""4"",""3"",""0"",""1"",""2"",""4"",""4"",""6"",""6"",""5"",""1"",""1"",""4"""
"1,""19"",""Hospital Changuinola"",""Bocas del Toro"",""Changuinola"",""Changuinola"",""6"",""6"",""8"",""9"",""9"",""7"",""8"",""6"",""5"",""8"",""11"",""9"",""3"",""2"",""1"",""5"",""7"",""8"",""7"",""8"",""11"",""8"",""5"",""8"",""7"",""6"",""8"",""7"",""4"",""4"",""11"""
