Regi¢n;Proveedor;PA;Nombre;Provincia;Distrito;Corregimiento;Sesiones;Estado
1;C&W Panam†;1;Colegio Rogelio JosuÇ Ibarra;Bocas del Toro;Bocas del Toro;Bocas del Toro;16;Normal
1;C&W Panam†;3;Escuela Rep£blica de Nicaragua;Bocas del Toro;Bocas del Toro;Bocas del Toro;93;Normal
1;C&W Panam†;5;Parque Sim¢n Bol°var;Bocas del Toro;Bocas del Toro;Bocas del Toro;101;Normal
1;C&W Panam†;6;Col. Sec. de Almirante;Bocas del Toro;Almirante;Puerto Almirante;243;Normal
1;C&W Panam†;7;Escuela Almirante;Bocas del Toro;Almirante;Puerto Almirante;376;Normal
1;C&W Panam†;8;Escuela Barriada Guaymi;Bocas del Toro;Almirante;Puerto Almirante;0;Fuerza Mayor
1;C&W Panam†;9;Escuela Berta L¢pez;Bocas del Toro;Almirante;Puerto Almirante;2789;Normal
1;C&W Panam†;10;Escuela Miraflores;Bocas del Toro;Almirante;Puerto Almirante;3537;Normal
1;C&W Panam†;11;Escuela Nuevo Para°so;Bocas del Toro;Almirante;Puerto Almirante;2238;Fuerza Mayor
1;C&W Panam†;13;BDA;Bocas del Toro;Changuinola;Changuinola;1158;Normal
1;C&W Panam†;17;Escuela Finca 41;Bocas del Toro;Changuinola;Changuinola;1241;Normal
1;C&W Panam†;19;Hospital Changuinola;Bocas del Toro;Changuinola;Changuinola;2675;Normal
1;C&W Panam†;20;Instituto Profesional y tÇcnico de Bocas del Toro;Bocas del Toro;Changuinola;Changuinola;1024;Normal
1;C&W Panam†;21;Palacio Municipal Changuinola;Bocas del Toro;Changuinola;Changuinola;507;Normal
1;C&W Panam†;22;Parque de la escuela de changuinola;Bocas del Toro;Changuinola;Changuinola;745;Normal
1;C&W Panam†;24;Policia de la Ni§ez y Adolescencia;Bocas del Toro;Changuinola;Changuinola;951;Normal
1;C&W Panam†;25;Policia Nacional Changuinola;Bocas del Toro;Changuinola;Changuinola;1769;Normal
1;C&W Panam†;26;Terminal de Transporte Sincotavecop;Bocas del Toro;Changuinola;Changuinola;2543;Normal
1;C&W Panam†;27;C.E.B.G. Finca 32;Bocas del Toro;Changuinola;Changuinola;81;Normal
1;C&W Panam†;28;C.E.B.G. FINCA 62;Bocas del Toro;Changuinola;Changuinola;717;Fuerza Mayor
1;C&W Panam†;29;Escuela Finca 43;Bocas del Toro;Changuinola;Changuinola;1546;Normal
1;C&W Panam†;30;Escuela Finca 44;Bocas del Toro;Changuinola;Changuinola;505;Normal
1;C&W Panam†;31;Escuela Finca 64;Bocas del Toro;Changuinola;Changuinola;3975;Normal
1;C&W Panam†;32;Escuela Finca 67;Bocas del Toro;Changuinola;Changuinola;3965;Normal
1;C&W Panam†;33;C.E.B.G. Finca 04;Bocas del Toro;Changuinola;El Empalme;518;Normal
1;C&W Panam†;34;Cuartel de Bomberos del Empalme;Bocas del Toro;Changuinola;El Empalme;2226;Normal
1;C&W Panam†;35;Escuela El Empalme;Bocas del Toro;Changuinola;El Empalme;476;Normal
1;C&W Panam†;36;Escuela El Silencio;Bocas del Toro;Changuinola;El Empalme;576;Normal
1;C&W Panam†;37;Escuela Finca 3;Bocas del Toro;Changuinola;El Empalme;1660;Fuerza Mayor
1;C&W Panam†;38;I.P.T. EL SILENCIO;Bocas del Toro;Changuinola;El Empalme;255;Fuerza Mayor
1;C&W Panam†;39;Universidad de Panam† El Empalme;Bocas del Toro;Changuinola;El Empalme;1201;Normal
1;C&W Panam†;40;Universidad de Panam†- Sede Agropecuaria;Bocas del Toro;Changuinola;El Empalme;1035;Normal
1;C&W Panam†;41;UTP El Empalme;Bocas del Toro;Changuinola;El Empalme;1763;Normal
1;C&W Panam†;42;C.E.B.G. Guabito;Bocas del Toro;Changuinola;Guabito;235;Normal
1;C&W Panam†;43;Colegio Secundario de Guabito;Bocas del Toro;Changuinola;Guabito;1736;Fuerza Mayor
1;C&W Panam†;44;Escuela Finca 41 Guabito;Bocas del Toro;Changuinola;Guabito;1660;Normal
1;C&W Panam†;45;Escuela Finca 54;Bocas del Toro;Changuinola;Guabito;4480;Normal
1;C&W Panam†;46;Escuela Finca DÇbora;Bocas del Toro;Changuinola;Guabito;4002;Normal
1;C&W Panam†;47;Escuela Puente blanco;Bocas del Toro;Changuinola;Guabito;2482;Normal
